session_id,customer_id,session_start,session_end,pages_viewed,device
S70000,C1603,13/01/2025 13:47,2025-01-13 15:52:00,4.0,web
S70001,C1180,2024-11-25 02:11:00,2024-11-25 02:27:00,3.0,ios
S70002,C1432,27/11/2024 12:05,2024-11-27 14:52:00,,mobile
S70003,C1429,24/09/2023 19:44,2023-09-24 19:52:00,,desktop
S70004,C1130,2024-10-16 19:13:00,2024-10-16 21:29:00,1.0,web
S70005,C1323,03/11/2024 12:42,2024-11-03 13:48:00,4.0,ios
S70006,C1278,2023-08-31 03:49:00,,1.0,android app
S70007,C1507,2024-08-09 12:11:00,2024-08-09 12:25:00,,mobile
S70008,C1796,2024-03-27 10:25:00,2024-03-27 10:20:00,3.0,android app
S70009,C1520,15/12/2024 09:16,2024-12-15 12:58:00,,mobile
S70010,C1049,17/08/2023 18:55,,5.0,mobile
S70011,C1702,19/02/2025 01:37,2025-02-19 02:04:00,3.0,android
S70012,C1033,2023-11-23 02:40:00,2023-11-23 04:43:00,3.0,ios
S70013,C1577,2024-09-11 10:25:00,2024-09-11 13:48:00,4.0,android
S70014,C1335,2024-02-15 06:01:00,2024-02-15 08:18:00,4.0,desktop
S70015,C1528,05/03/2023 20:25,2023-03-06 00:17:00,2.0,mobile
S70016,C1052,2023-07-25 12:09:00,2023-07-25 14:01:00,4.0,web
S70017,C1313,29/12/2024 03:50,2024-12-29 06:59:00,2.0,android
S70018,C1014,2023-02-25 11:43:00,2023-02-25 14:33:00,3.0,desktop
S70019,C1092,21/03/2023 12:16,2023-03-21 13:12:00,4.0,android
S70020,C1798,27/02/2023 14:32,2023-02-27 16:56:00,1.0,ios
S70021,C1300,2024-04-18 23:51:00,2024-04-19 01:47:00,3.0,web
S70022,C1395,2024-12-30 20:03:00,2024-12-30 22:29:00,5.0,android app
S70023,C1125,04/11/2023 16:06,2023-11-04 20:06:00,4.0,ios
S70024,C1323,03/04/2023 06:47,2023-04-03 07:44:00,10.0,mobile
S70025,C1622,2024-10-31 11:48:00,2024-10-31 15:16:00,,android app
S70026,,2025-02-10 06:55:00,2025-02-10 07:11:00,,android
S70027,C1478,2024-12-05 23:30:00,2024-12-06 00:21:00,3.0,ios
S70028,C1787,05/02/2025 20:42,2025-02-05 23:39:00,4.0,android
S70029,C1750,08/10/2024 07:38,2024-10-08 08:08:00,10.0,android
S70030,C1013,01/03/2024 11:59,2024-03-01 13:20:00,5.0,mobile
S70031,C1041,13/06/2023 15:59,2023-06-13 18:11:00,10.0,android
S70032,C1026,05/10/2024 05:48,2024-10-05 06:32:00,4.0,android app
S70033,C1072,01/09/2024 10:37,2024-09-01 14:16:00,5.0,mobile
S70034,C1593,06/02/2025 17:25,2025-02-06 19:58:00,4.0,web
S70035,C1687,2024-03-27 14:30:00,2024-03-27 15:33:00,3.0,android app
S70036,C1056,14/12/2024 01:21,,3.0,ios
S70037,C1035,2024-01-05 09:33:00,2024-01-05 09:43:00,2.0,web
S70038,C1461,2024-08-29 18:45:00,2024-08-29 22:07:00,5.0,mobile
S70039,C1214,2025-02-27 01:30:00,2025-02-27 04:47:00,5.0,android
S70040,C1531,02/04/2023 05:44,2023-04-02 05:57:00,4.0,web
S70041,C1518,24/08/2024 19:24,2024-08-24 20:18:00,4.0,desktop
S70042,C1327,15/09/2024 19:59,2024-09-15 23:09:00,2.0,android
S70043,C1263,09/04/2023 10:18,2023-04-09 11:10:00,,android
S70044,C1401,2024-12-21 17:11:00,2024-12-21 20:11:00,1.0,android app
S70045,C1451,2024-05-04 00:03:00,2024-05-04 01:03:00,1.0,desktop
S70046,C1776,2024-11-03 04:36:00,2024-11-03 07:07:00,,android
S70047,C1726,11/09/2023 06:49,2023-09-11 08:55:00,10.0,ios
S70048,C1237,2024-12-13 03:13:00,2024-12-13 06:47:00,1.0,web
S70049,C1645,12/05/2023 12:32,2023-05-12 15:45:00,,web
S70050,C1316,08/08/2024 06:30,2024-08-08 08:56:00,4.0,web
S70051,C1745,2023-09-26 13:01:00,2023-09-26 16:33:00,10.0,desktop
S70052,C1508,10/06/2023 02:15,2023-06-10 04:49:00,,mobile
S70053,C1289,2024-03-20 17:54:00,2024-03-20 18:49:00,2.0,android
S70054,C1249,02/07/2024 09:04,2024-07-02 09:41:00,10.0,ios
S70055,C1411,2024-01-04 15:30:00,2024-01-04 17:55:00,3.0,mobile
S70056,C1771,27/03/2023 22:08,2023-03-27 22:13:00,1.0,ios
S70057,C1586,2025-01-29 19:04:00,2025-01-29 20:32:00,3.0,android app
S70058,C1237,2024-06-22 08:11:00,2024-06-22 10:19:00,4.0,mobile
S70059,C1587,2024-12-18 20:41:00,2024-12-18 22:58:00,1.0,web
S70060,C1651,2024-01-19 02:46:00,2024-01-19 05:31:00,4.0,desktop
S70061,C1033,2024-08-27 11:50:00,2024-08-27 11:45:00,,android app
S70062,C1567,28/02/2024 02:30,2024-02-28 06:08:00,3.0,android app
S70063,C1618,22/03/2024 21:58,2024-03-23 00:06:00,10.0,desktop
S70064,C1282,09/01/2024 10:35,2024-01-09 14:04:00,3.0,web
S70065,C1107,2024-09-06 05:09:00,2024-09-06 06:47:00,1.0,web
S70066,C1215,14/08/2023 22:23,2023-08-15 02:15:00,4.0,web
S70067,C1109,06/01/2024 04:44,2024-01-06 08:04:00,10.0,web
S70068,C1588,2024-07-13 10:35:00,2024-07-13 11:19:00,1.0,ios
S70069,C1543,17/05/2024 21:01,2024-05-17 21:01:00,,desktop
S70070,C1325,2024-03-23 06:00:00,2024-03-23 07:09:00,10.0,android app
S70071,C1589,13/11/2024 04:49,2024-11-13 06:42:00,10.0,android
S70072,C1387,01/06/2023 17:49,2023-06-01 18:05:00,3.0,mobile
S70073,C1509,2024-12-31 05:38:00,2024-12-31 08:29:00,,ios
S70074,C1069,2023-08-17 07:22:00,2023-08-17 09:12:00,3.0,ios
S70075,C1536,2023-05-28 17:54:00,2023-05-28 21:11:00,3.0,android app
S70076,C1224,25/03/2024 16:39,2024-03-25 16:38:00,4.0,android
S70077,C1146,2024-05-24 03:23:00,2024-05-24 06:36:00,2.0,ios
S70078,C1111,13/01/2025 06:22,,2.0,mobile
S70079,C1205,2024-09-04 20:26:00,2024-09-04 22:40:00,2.0,desktop
S70080,C1013,04/11/2023 15:10,2023-11-04 18:05:00,5.0,ios
S70081,C1358,25/02/2024 16:42,2024-02-25 18:13:00,10.0,web
S70082,C1300,2023-11-14 23:31:00,2023-11-15 02:46:00,,desktop
S70083,C1128,30/09/2023 13:17,2023-09-30 13:41:00,5.0,ios
S70084,C1676,23/11/2024 11:20,2024-11-23 13:27:00,5.0,web
S70085,C1554,04/02/2023 14:43,2023-02-04 15:52:00,10.0,web
S70086,C1652,2023-06-04 16:15:00,2023-06-04 17:07:00,3.0,android
S70087,C1259,16/04/2023 00:59,2023-04-16 02:19:00,1.0,mobile
S70088,C1670,06/05/2023 17:22,2023-05-06 18:56:00,1.0,android
S70089,C1726,2025-01-13 21:03:00,2025-01-14 00:39:00,4.0,android
S70090,C1179,22/06/2024 17:03,2024-06-22 17:40:00,2.0,desktop
S70091,C1367,06/07/2024 15:20,2024-07-06 17:50:00,2.0,web
