transaction_id,customer_id,product_id,quantity,unit_price,total_amount,created_at,payment_status,order_source
T50000,C1747,P209,2,51.71,103.42,08-12-2025 09:35,refunded,store
T50001,C1553,P210,2,93.56,187.12,13-08-2023 14:19,paid,web
T50002,C1271,P209,5,55.34,276.7,10/01/2023 08:04 AM,charged_back,web
T50003,C1676,P211,5,176.6,883.0,02/26/2025 03:10 PM,PAID,partner
T50004,C1288,P249,5,150.56,752.8,2023-08-13 08:22:00,,
T50005,C1304,P245,1,128.04,128.04,2024-03-14 10:50:00,refunded,web
T50006,C1243,P203,2,94.78,189.56,07/21/2023 04:52 PM,refunded,web
T50007,C1098,P226,1,47.25,47.25,03-02-2024 18:16,pending,
T50008,C1050,P219,3,74.09,222.27,04/04/2024 06:48 PM,,
T50009,C1402,P219,1,84.21,84.21,01/12/2023 05:22 AM,charged_back,store
T50010,C1585,P246,1,-1.97,-1.97,10/28/2023 05:23 PM,,partner
T50011,C1562,P249,5,129.67,648.35,2025-02-02 07:24:00,charged_back,partner
T50012,C1502,P228,5,141.36,706.8,02/18/2025 04:26 AM,charged_back,mobile
T50013,C1157,P218,1,306.41,306.41,26-07-2024 18:02,PAID,store
T50014,C1055,P240,5,189.51,947.55,15-10-2023 22:29,paid,web
T50015,C1369,P211,2,N/A,,27-06-2023 06:33,PAID,store
T50016,C1003,P207,1,N/A,,2024-03-20 23:45:00,PAID,web
T50017,C1437,P208,1,141.48,141.48,2023-09-30 02:41:00,pending,
T50018,C1089,P212,1,-0.58,-0.58,13-01-2023 00:38,paid,
T50019,C1301,P200,1,116.69,116.69,12/14/2023 07:32 AM,pending,
T50020,C1677,P239,3,50.06,150.18,12/12/2023 08:56 PM,,store
T50021,C1640,P248,2,112.63,225.26,17-11-2023 15:47,PAID,mobile
T50022,C1614,P216,1,12.28,12.28,02-10-2023 05:05,paid,web
T50023,C1491,P200,2,93.83,187.66,02/05/2024 11:17 PM,paid,
T50024,C1204,P229,2,107.72,215.44,08/29/2023 10:49 AM,PAID,store
T50025,C1099,P231,1,50.36,50.36,27-08-2024 19:01,charged_back,store
T50026,C1026,P231,1,55.19,55.19,2023-02-03 18:49:00,,mobile
T50027,C1211,P234,1,126.12,126.12,14-08-2023 15:34,paid,web
T50028,C1174,P200,3,92.6,277.8,2023-03-21 08:43:00,pending,partner
T50029,C1653,P238,1,71.5,71.5,03/13/2024 01:19 AM,refunded,store
T50030,C1298,P231,1,61.93,61.93,2024-05-15 20:40:00,paid,
T50031,C1083,P215,1,131.83,131.83,2024-02-25 23:06:00,charged_back,store
T50032,C1484,P213,1,158.31,158.31,28-10-2023 07:29,paid,partner
T50033,C1118,P237,1,165.51,165.51,2024-06-01 16:16:00,pending,web
T50034,C1315,P242,5,38.68,193.4,10/10/2023 06:29 AM,pending,
T50035,C1407,P230,1,170.0,170.0,22-02-2023 12:46,,partner
T50036,C1482,P229,1,147.97,147.97,2024-01-20 02:34:00,charged_back,partner
T50037,C1500,P226,3,32.12,96.36,2025-02-09 14:53:00,PAID,partner
T50038,C1676,P228,1,101.96,101.96,29-10-2024 11:56,pending,web
T50039,C1271,P205,1,,,2024-03-01 08:57:00,refunded,store
T50040,C1093,P238,1,57.92,57.92,02/29/2024 02:08 PM,paid,store
T50041,C1657,P238,2,51.46,102.92,11/26/2024 12:48 PM,,web
T50042,C1557,P200,1,104.62,104.62,28-08-2023 12:35,,web
T50043,C1396,P215,3,122.0,366.0,11-03-2025 02:23,PAID,mobile
T50044,C1189,P235,1,150.59,150.59,2024-11-05 09:56:00,charged_back,partner
T50045,C1379,P217,1,161.99,161.99,11-12-2024 02:33,PAID,web
T50046,C1390,P239,3,48.66,145.98,2024-01-17 16:47:00,refunded,
T50047,C1378,P240,1,164.92,164.92,09/15/2024 06:02 PM,refunded,store
T50048,C1191,P235,2,117.82,235.64,03-03-2023 04:28,charged_back,partner
T50049,C1456,P213,1,130.4,130.4,2024-05-01 22:10:00,PAID,web
T50050,C1045,P203,1,106.19,106.19,08/13/2024 03:00 AM,charged_back,partner
T50051,C1269,P211,1,183.48,183.48,06-03-2025 16:19,paid,mobile
T50052,C1450,P209,1,44.81,44.81,12/09/2023 01:44 AM,PAID,store
T50053,C1476,P203,3,98.48,295.44,2024-04-10 20:53:00,,web
T50054,C1269,P241,1,137.19,137.19,07/29/2024 12:01 PM,refunded,partner
T50055,C1231,P222,1,62.56,62.56,2023-10-25 07:23:00,paid,mobile
T50056,C1275,P202,5,157.13,785.65,26-02-2024 13:02,,
T50057,C1577,P209,3,38.08,114.24,12-12-2023 01:14,,web
T50058,C1063,P202,3,183.91,551.73,23-12-2024 07:28,charged_back,partner
T50059,C1154,P242,5,44.02,220.1,01-10-2023 13:37,paid,web
T50060,C1770,P236,1,22.94,22.94,2024-06-05 07:13:00,PAID,
T50061,C1713,P238,5,54.95,274.75,01/28/2023 12:30 PM,PAID,
T50062,C1683,P219,1,77.53,77.53,2024-10-22 14:42:00,PAID,web
T50063,C1099,P221,2,121.66,243.32,08/05/2023 12:52 AM,PAID,web
T50064,C1087,P205,2,76.92,153.84,2024-02-19 15:44:00,PAID,web
T50065,C1684,P203,1,82.8,82.8,2023-05-04 17:59:00,pending,store
T50066,C1352,P206,1,95.05,95.05,05/19/2023 05:47 AM,,mobile
T50067,C1554,P226,3,30.26,90.78,2023-07-07 13:26:00,,store
T50068,C1423,P211,3,184.52,553.56,01-05-2024 18:41,paid,mobile
T50069,C1774,P210,1,120.02,120.02,10/15/2023 02:39 AM,paid,
T50070,C1603,P243,3,48.1,144.3,17-01-2023 16:28,paid,partner
T50071,C1232,P218,1,300.22,300.22,2024-06-04 20:32:00,pending,
T50072,C1566,P239,3,61.14,183.42,17-03-2024 10:13,pending,web
T50073,C1062,P242,1,37.84,37.84,05/29/2024 10:43 AM,PAID,mobile
T50074,C1396,P244,1,-13.8,-13.8,04-09-2024 01:24,refunded,web
T50075,C1535,P244,5,N/A,,2024-04-27 06:36:00,PAID,
T50076,C1428,P238,1,63.21,63.21,02/29/2024 06:19 AM,paid,mobile
T50077,C1548,P236,1,12.65,12.65,2024-11-27 05:44:00,paid,mobile
T50078,C1703,P235,1,147.58,147.58,06/11/2024 10:39 PM,paid,mobile
T50079,C1486,P211,1,137.3,137.3,2024-05-30 15:25:00,pending,
T50080,C1586,P229,5,135.01,675.05,25-01-2023 23:54,refunded,mobile
T50081,C1241,P247,1,285.72,285.72,19-11-2023 20:20,refunded,web
T50082,C1487,P237,5,223.29,1116.45,01/23/2023 09:40 PM,paid,web
T50083,C1306,P223,2,84.51,169.02,06-11-2023 18:08,refunded,web
T50084,C1080,P202,3,145.05,435.15,23-05-2023 03:44,charged_back,mobile
T50085,C1404,P205,2,81.75,163.5,2024-04-11 01:16:00,pending,web
T50086,C1731,P249,5,162.67,813.35,10/25/2024 05:27 PM,paid,partner
T50087,C1035,P219,1,82.86,82.86,22-02-2025 22:48,paid,web
T50088,C1514,P220,1,31.4,31.4,21-03-2023 17:55,PAID,web
T50089,C1584,P223,5,79.38,396.9,16-02-2024 21:46,,web
T50090,C1529,P224,1,52.6,52.6,03/29/2024 12:26 AM,refunded,store
T50091,C1585,P204,1,133.87,133.87,05-02-2024 06:11,,
